Unnamed: 0,Parâmetros,Unidade,Diluição,Unnamed: 1,LQ / Faixa,Resultados analíticos,Data  do Início,F1,F2
,,,,,,,do Ensaio,,
Acetona,,μg/m3,,"1,5",17,< 17,29/11/2023 20:29,---,---
Acroleína,,μg/m3,,"1,5","8,3","< 8,3",29/11/2023 20:29,---,---
Benzeno,,μg/m3,,"1,5","0,44","0,8",29/11/2023 20:29,---,---
Cloreto de Benzila,,μg/m3,,"1,5","0,73","< 0,73",29/11/2023 20:29,---,---
Bromodiclorometano,,μg/m3,,"1,5",1,< 1,29/11/2023 20:29,---,---
Bromofórmio,,μg/m3,,"1,5","7,6","< 7,6",29/11/2023 20:29,---,---
Bromometano,,μg/m3,,"1,5","2,8","< 2,8",29/11/2023 20:29,---,---
"1,3-Butadieno",,μg/m3,,"1,5","0,29","< 0,29",29/11/2023 20:29,---,---
Metiletilcetona (2-Butanona),,μg/m3,,"1,5","2,2","3,6",29/11/2023 20:29,---,---
Dissulfeto de Carbono,,μg/m3,,"1,5","2,3","< 2,3",29/11/2023 20:29,---,---
Tetracloreto de Carbono,,μg/m3,,"1,5","0,87","< 0,87",29/11/2023 20:29,---,---
Clorobenzeno,,μg/m3,,"1,5","1,7","< 1,7",29/11/2023 20:29,---,---
Cloroetano,,μg/m3,,"1,5",1,< 1,29/11/2023 20:29,---,---
Clorofórmio,,μg/m3,,"1,5","0,73","< 0,73",29/11/2023 20:29,---,---
Clorometano,,μg/m3,,"1,5","0,73","< 0,73",29/11/2023 20:29,---,---
Ciclohexano,,μg/m3,,"1,5","2,5","< 2,5",29/11/2023 20:29,---,---
Dibromoclorometano,,μg/m3,,"1,5","1,3","< 1,3",29/11/2023 20:29,---,---
"1,2-Diclorobenzeno",,μg/m3,,"1,5","0,87","< 0,87",29/11/2023 20:29,---,---
"1,3-Diclorobenzeno",,μg/m3,,"1,5","0,87","< 0,87",29/11/2023 20:29,---,---
"1,4-Diclorobenzeno",,μg/m3,,"1,5","0,87","< 0,87",29/11/2023 20:29,---,---
"1,1-Dicloroetano",,μg/m3,,"1,5","0,58","< 0,58",29/11/2023 20:29,---,---
"1,2-Dicloroetano",,μg/m3,,"1,5","0,58","< 0,58",29/11/2023 20:29,---,---
"1,1-Dicloroeteno",,μg/m3,,"1,5","0,58","< 0,58",29/11/2023 20:29,---,---
"Cis-1,2-Dicloroeteno",,μg/m3,,"1,5","0,58","< 0,58",29/11/2023 20:29,---,---
"Trans-1,2-Dicloroeteno",,μg/m3,,"1,5","0,58","< 0,58",29/11/2023 20:29,---,---
"1,2-Dicloropropano",,μg/m3,,"1,5","0,73","< 0,73",29/11/2023 20:29,---,---
"Cis-1,3-Dicloropropeno",,μg/m3,,"1,5","0,73","< 0,73",29/11/2023 20:29,---,---
"Trans-1,3-Dicloropropeno",,μg/m3,,"1,5","0,73","< 0,73",29/11/2023 20:29,---,---
"1,4-Dioxano",,μg/m3,,"1,5","2,6","< 2,6",29/11/2023 20:29,---,---
Acetato de Etila,,μg/m3,,"1,5","2,6","7,6",29/11/2023 20:29,---,---
Etilbenzeno,,μg/m3,,"1,5","0,58","4,6",29/11/2023 20:29,---,---
"1,2-Dibromoetano",,μg/m3,,"1,5","1,2","< 1,2",29/11/2023 20:29,---,---
4-Etiltolueno,,μg/m3,,"1,5","0,73","< 0,73",29/11/2023 20:29,---,---
Triclorofluormetano,,μg/m3,,"1,5","0,87","1,2",29/11/2023 20:29,---,---
Diclorodifluormetano,,μg/m3,,"1,5","0,73","2,3",29/11/2023 20:29,---,---
"1,1,2-Tricloro-1,2,2-trifluoroetano",,μg/m3,,"1,5","1,2","< 1,2",29/11/2023 20:29,---,---
"1,2-Diclorotetrafluoroetano",,μg/m3,,"1,5",1,< 1,29/11/2023 20:29,---,---
n-Heptano,,μg/m3,,"1,5","1,5","< 1,5",29/11/2023 20:29,---,---
Hexaclorobutadieno,,μg/m3,,"1,5","1,6","< 1,6",29/11/2023 20:29,---,---
n-Hexano,,μg/m3,,"1,5","2,6","2,6",29/11/2023 20:29,---,---
2-Hexanona,,μg/m3,,"1,5","2,9","< 2,9",29/11/2023 20:29,---,---
4-Metil-2-Pentanona,,μg/m3,,"1,5","2,9","< 2,9",29/11/2023 20:29,---,---
Diclorometano,,μg/m3,,"1,5","2,5","< 2,5",29/11/2023 20:29,---,---
